id	title	created	sumVotesIncremented	spinoffCount
4983806602641408	Animated dashed border	2016-08-18T15:16:02Z	5	0
5105098777165824	Divided cube	2014-09-05T17:58:40Z	5	4
5120138752950272	Hand-drawn	2015-08-15T20:05:12Z	5	5
5179819717558272	Bouncing ball	2014-09-30T15:01:11Z	5	2
5183812235165696	Space Trader	2015-03-22T22:43:00Z	5	2
5223577086590976	Animation with linear interpolation (4 avars)	2015-04-27T15:27:54Z	5	1
5376922859470848	Bounded circle	2016-01-17T14:08:24Z	5	2
5424037858902016	Triangle test	2015-01-20T13:55:45Z	5	3
5507511252942848	Design challenge: Modeling grass	2015-08-05T14:04:15Z	5	3
5576118515269632	Spin-off of "Project: Creature Colonies"	2014-12-06T21:35:16Z	5	2
5616944816717824	Calculating the intersection of two line segments	2016-04-26T10:08:35Z	5	0
5848987502772224	My Mike animation	2016-02-10T16:06:31Z	5	0
5904855036461056	Camera controls	2016-02-17T15:57:28Z	5	4
6266486115139584	Answer Counter	2015-06-24T12:01:14Z	5	0
6283676615442432	Input test	2015-03-14T16:09:51Z	5	1
6293105639817216	Animation with rotation and saving	2016-08-24T12:01:46Z	5	16
6312104530411520	Osmosis	2015-08-21T11:01:25Z	5	3
6392272796516352	Interactive: String art creates parabolas	2014-10-01T15:09:15Z	5	2
6408817963302912	Infinite map test	2015-10-21T10:54:59Z	5	2
6654178979086336	Image holder	2015-08-04T15:43:58Z	5	3
1117118357	Solving the Riddle of the Fruit Prices	2013-01-19T19:49:15Z	7	2
5661380162093056	Colour compression	2013-11-19T16:17:30Z	7	3
1043363292	Shaded sphere	2012-09-27T15:09:58Z	4	3
1173203040	3D 3-phosphoglyceric acid molecule	2012-11-26T14:08:27Z	4	1
1547004960	Magnetic materials	2013-04-23T10:05:33Z	4	3
1659897746	Curve in 3D space	2013-05-29T11:34:47Z	4	4
1711435697	Spout Bot collision	2013-06-07T15:37:27Z	4	5
1726869927	Graph more simplified (11 lines)	2013-06-12T17:21:08Z	4	3
1772697019	Falling boxes	2013-07-03T17:45:10Z	4	0
1815323963	Prime pattern	2013-07-19T16:22:39Z	4	2
1870749124	Slider	2013-09-05T15:50:22Z	4	2
3632835941	Make your own dino skin 2	2016-06-16T13:18:58Z	4	4
4368623363	Camera test 3	2016-07-14T10:06:14Z	4	3
5248962611	createGraphics test	2016-05-06T10:27:14Z	4	1
5688701556	Spin-off of "Metaballs"	2016-06-01T15:27:56Z	4	0
5869742799	Spin-off of "Earth and Sun"	2016-05-28T21:56:39Z	4	1
5886519221	Desafio de design: animação da grama	2016-05-31T14:39:04Z	4	0
4505503602442240	Spin-off of "Bouncing ball"	2015-07-29T14:20:28Z	4	0
